,cyclist_id,origin,destination
699,1160,27035,24966
700,1162,29083,25099
701,1163,11410,11733
702,1164,25508,27036
703,1166,22827,25489
704,1167,25712,29036
705,1168,10240,25099
706,1170,25099,9592
707,1171,25228,16398
708,1173,28743,30034
709,1174,19168,19167
710,1175,25184,24073
711,1176,24340,12081
712,1177,26326,17873
713,1178,25643,28468
714,1179,28836,25259
715,1181,21374,17602
716,1182,29107,29373
717,1183,21684,24609
718,1184,29036,24572
719,1186,30067,25426
720,1188,16367,13032
721,1189,21390,24609
722,1190,30656,26036
723,1191,29378,28425
724,1192,30658,24881
725,1193,16112,26024
726,1196,19799,22821
727,1197,27035,13368
728,1199,20429,27525
729,1200,20398,27640
730,1201,27319,20398
731,1205,26092,26979
732,1206,25224,8922
733,1207,25114,9204
734,1208,15370,16842
735,1209,24651,27953
736,1210,21398,28783
737,1212,20094,25224
738,1214,25790,17580
739,1215,25489,24609
740,1216,22008,23852
741,1218,27958,27633
742,1219,26669,12247
743,1222,29424,30057
744,1223,21312,21893
745,1224,24577,25710
746,1226,24571,29026
747,1228,18878,20421
748,1229,24357,22245
749,1230,25765,25459
750,1231,25224,24369
751,1232,30067,25188
752,1233,19134,27231
753,1234,24366,25424
754,1235,24609,21391
755,1244,11138,18607
756,1245,16603,24538
757,1246,12081,12084
758,1247,28104,18500
759,1248,26033,21051
760,1250,13720,21369
761,1252,27001,12081
762,1253,24609,22825
763,1255,24609,23759
764,1258,28114,21677
765,1260,27528,22856
766,1261,21385,19798
767,1265,27231,26252
768,1266,25820,24965
769,1267,24882,20728
770,1269,16112,21651
771,1271,22230,18890
772,1272,26025,16112
773,1273,22235,20711
774,1274,16398,26326
775,1275,26954,16683
776,1276,24153,21691
777,1277,24028,27250
778,1278,28143,29729
779,1280,23760,25781
780,1282,16106,21684
781,1283,26931,26971
782,1284,12243,26962
783,1286,24312,27027
784,1287,27254,20023
785,1288,19161,25239
786,1289,25710,29021
787,1290,22582,23809
788,1291,24886,16891
789,1292,24888,21628
790,1294,11410,11410
791,1295,27638,20398
792,1296,30054,25517
793,1297,13368,27035
794,1298,19481,27959
795,1299,23505,27252
796,1300,30057,26954
797,1304,26685,25459
798,1305,20711,20714
799,1306,27959,19168
800,1308,16398,22574
801,1309,21036,21036
802,1310,22575,16118
803,1311,27260,27583
804,1312,25112,27528
805,1313,16609,15064
806,1315,21036,22235
