,cyclist_id,origin,destination
1088,1690,24047,22825
1089,1695,20705,18530
1090,1696,21649,20416
1091,1697,11410,11733
1092,1698,29379,25216
1093,1699,25765,25216
1094,1700,10830,23511
1095,1701,25432,17538
1096,1703,24314,29746
1097,1705,29730,18758
1098,1708,17878,17582
1099,1709,20099,26332
1100,1716,24611,25224
1101,1717,22582,18274
1102,1718,18273,22007
1103,1719,22582,29117
1104,1722,25424,20424
1105,1723,25223,26883
1106,1725,12373,19154
1107,1726,26332,20417
1108,1727,24924,22249
1109,1728,17224,23776
1110,1729,16930,23776
1111,1730,27261,27261
1112,1731,18246,25735
1113,1732,26895,24090
1114,1733,16337,18168
1115,1734,27167,31233
1116,1735,29107,29379
1117,1736,22233,20111
1118,1737,29098,28095
1119,1738,21050,19806
1120,1739,30961,21744
1121,1740,16221,20724
1122,1741,20398,16923
1123,1742,19805,26030
1124,1743,29379,28143
1125,1746,18170,26925
1126,1747,26891,18460
1127,1748,16111,26025
1128,1751,24650,17871
1129,1752,25114,14067
1130,1753,29107,26936
1131,1754,17219,27639
1132,1755,15370,17483
1133,1756,12375,20104
1134,1757,25188,26976
1135,1758,25188,25441
1136,1759,24893,19798
1137,1760,20102,27810
1138,1761,20422,24313
1139,1762,25778,27231
1140,1763,31411,31906
1141,1765,25790,17580
1142,1767,22008,23853
1143,1768,14616,25415
1144,1770,26697,24313
1145,1772,18459,26356
1146,1773,18241,26969
1147,1775,19161,23195
1148,1776,21385,20102
1149,1777,20422,27810
1150,1778,22824,24609
1151,1779,22879,24607
1152,1782,24366,25195
1153,1785,24972,16389
1154,1786,21332,24631
1155,1788,17217,27444
1156,1789,15481,12118
1157,1791,27247,20723
1158,1793,28142,26536
1159,1794,27606,27611
1160,1796,27269,25427
1161,1797,31905,26997
1162,1798,23225,23538
1163,1799,27062,25831
1164,1800,28095,29098
1165,1801,27601,28793
1166,1802,25224,28160
1167,1803,25718,21051
1168,1805,22903,22903
1169,1807,17268,25790
1170,1809,25224,28447
1171,1810,25192,30366
1172,1811,25726,24375
1173,1812,24311,17278
1174,1814,13760,25114
1175,1815,17528,22858
1176,1816,28143,29107
1177,1817,13027,16367
1178,1819,26925,20417
1179,1820,24869,23533
1180,1821,21744,30961
1181,1823,27220,29107
1182,1824,31233,26579
1183,1827,26025,16112
1184,1828,25710,14616
1185,1830,18170,26029
1186,1831,24890,23154
1187,1832,26356,27187
1188,1835,25180,17873
1189,1836,14478,15709
1190,1837,8560,12702
1191,1838,20421,21045
1192,1839,22517,18890
1193,1840,16111,21685
1194,1841,21685,19795
1195,1842,11054,11051
1196,1843,16053,20423
1197,1846,25180,23494
1198,1847,21043,26986
1199,1848,26986,21043
1200,1849,21043,26695
1201,1850,26694,21043
1202,1851,22518,21651
1203,1852,22783,23486
1204,1853,25428,24072
1205,1856,24340,12078
1206,1858,27260,27261
1207,1859,29058,20429
1208,1860,20416,26924
1209,1862,25479,22547
1210,1863,22248,24609
1211,1865,27100,15811
1212,1867,30067,25188
1213,1868,18608,10528
1214,1870,20723,19805
1215,1871,30961,21744
1216,1873,19806,26312
1217,1874,11732,27001
1218,1875,16112,26025
1219,1878,26093,17270
1220,1881,25219,31253
1221,1882,22825,24609
1222,1883,24077,22254
1223,1884,21953,25431
1224,1889,25735,21953
1225,1890,22251,26330
1226,1893,22782,26070
1227,1896,19187,19186
1228,1897,24366,25426
1229,1898,27048,28226
1230,1899,17873,17531
1231,1902,10528,18607
1232,1903,29451,29457
1233,1904,19162,17602
1234,1905,23239,22307
1235,1906,17216,27444
1236,1907,14174,15376
1237,1908,23755,24370
1238,1909,24312,15129
1239,1910,27751,17217
1240,1912,15807,20427
1241,1914,26361,12078
1242,1915,26904,13729
1243,1917,22247,29440
1244,1918,15129,15129
1245,1919,28143,29107
1246,1921,28820,29750
1247,1922,28141,22002
1248,1923,21744,30961
1249,1925,29448,28820
1250,1926,25726,30366
1251,1928,26025,16111
1252,1931,26943,26698
1253,1932,28784,27604
1254,1933,29745,29738
1255,1934,22903,25822
1256,1935,19795,17572
1257,1936,24611,22825
1258,1937,25823,22902
1259,1939,20115,16131
1260,1941,25710,29032
1261,1944,20098,16114
1262,1945,16008,16887
1263,1946,16887,14762
1264,1948,24379,22836
1265,1949,25228,24373
1266,1950,27950,27946
1267,1951,15809,20738
1268,1952,24631,15216
1269,1953,15827,20115
1270,1954,11051,10730
1271,1955,19168,26332
1272,1956,17602,25738
1273,1958,21605,25187
1274,1959,25426,24073
1275,1960,22582,22462
1276,1961,17910,21388
1277,1963,28140,24886
1278,1964,25199,26365
1279,1965,16115,20098
1280,1966,22179,22581
1281,1968,26048,15481
1282,1969,24609,22547
1283,1970,25782,27100
1284,1972,29021,25710
1285,1973,1924,2253
1286,1975,30366,25193
1287,1977,30375,18165
1288,1978,30208,28472
1289,1979,23500,27249
1290,1980,21051,26312
1291,1981,22587,18921
1292,1982,16677,17500
