stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_index,vertex_part,vertex_part_index,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/07/31 07:36:10.000,3216,2013/07/31 06:52:18.000,11104,Work-related,,3216,,-2,2272,0,2272,0.120090851343825,214.955369786843,18183,1,0,295668.597912048,5041187.81082764,295668.597912048,5041187.81082764
2013/07/31 07:40:07.000,3217,2013/07/31 07:15:28.000,7327,Domicile-travail,,3217,,1,1,0,1,0.00112260413595376,209.380175272582,27295,1,36.1483569513791,300189.57213539,5045341.59795444,300175.001953989,5045308.51603303
2013/07/31 07:40:07.000,3217,2013/07/31 07:15:28.000,7327,Domicile-travail,,3217,,-2,1351,0,1351,0.0757390387384958,175.417564585755,26024,1,6.78907690893422,299548.603287294,5039807.99791533,299544.610570505,5039802.50703399
2013/07/31 07:53:03.000,3218,2013/07/31 07:10:58.000,12903,Domicile-travail,,3218,,1,1,0,1,0.000195152276538348,195.183782423522,15616,1,17.5250312134779,294085.005005582,5052352.93210561,294090.037966011,5052369.71888697
2013/07/31 07:53:03.000,3218,2013/07/31 07:10:58.000,12903,Domicile-travail,,3218,,-2,2334,0,2334,0.139520066768606,185.11418050997,20724,1,46.3256225106852,296954.064658495,5043896.89468493,296992.509966011,5043871.0485705
2013/07/31 07:41:46.000,3220,2013/07/31 07:13:01.000,10976,Courses,,3220,,1,1,0,1,0.000447457867026223,295.24278221194,15351,1,29.5792969769652,294034.370315097,5034856.22337319,294055.636676011,5034835.6642705
2013/07/31 07:41:46.000,3220,2013/07/31 07:13:01.000,10976,Courses,,3220,,-2,1104,0,1104,0.116370652028584,110.381991178619,26988,1,5.56013527661639,300049.034576155,5042132.69212014,300051.721429495,5042137.55996601
2013/07/31 07:57:12.000,3221,2013/07/31 07:27:11.000,11433,Work-related,,3221,,1,1,0,1,0.00191013162090053,147.758670348166,2974,1,0,276695.90853156,5037596.79291903,276695.90853156,5037596.79291903
2013/07/31 07:57:12.000,3221,2013/07/31 07:27:11.000,11433,Work-related,,3221,,-2,1608,0,1608,0.12758947019174,194.017370110306,7026,1,89.6071191691153,284426.696496706,5037740.13359783,284443.025476011,5037652.02684303
2013/07/31 07:59:43.000,3223,2013/07/31 07:01:40.000,19291,Exercise,,3223,,1,1,0,1,9.16796934434802e-05,276.569253899529,3911,1,7.12535245102431,278106.838327864,5037584.99592797,278112.799966011,5037588.8984295
2013/07/31 07:59:43.000,3223,2013/07/31 07:01:40.000,19291,Exercise,,3223,,-2,2125,0,2125,0.208502256348255,100.343832445433,3911,1,2.74427073013316,278110.389754184,5037587.58621732,278112.799966011,5037588.8984295
2013/07/31 08:02:14.000,3224,2013/07/31 07:36:06.000,8217,Domicile-travail,,3224,,1,1,0,1,6.10268611182806e-05,266.103103811415,19805,1,2.97782889628778,296519.077826753,5045474.40607733,296521.279966011,5045472.4015705
2013/07/31 08:02:14.000,3224,2013/07/31 07:36:06.000,8217,Domicile-travail,,3224,,-2,1345,0,1345,0.09076262033763,200.534036628476,26028,1,29.9198416129138,299659.660906485,5040184.78702781,299642.358245505,5040160.37770899
2013/07/31 07:49:57.000,3225,2013/07/31 07:03:44.000,13140,Domicile-travail,,3225,,1,1,0,1,0.000252326987534907,84.4132524378897,12706,1,6.8518264602066,292417.921128153,5045432.14669013,292413.709570505,5045426.74203399
